,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
0,Afghanistan,AFG,1980,0,0,0,0
1,Afghanistan,AFG,1981,0,0,0,0
2,Afghanistan,AFG,1982,0,0,0,0
3,Afghanistan,AFG,1983,0,0,0,0
4,Afghanistan,AFG,1984,0,0,0,0
5,Afghanistan,AFG,1985,0,0,0,0
6,Afghanistan,AFG,1986,0,0,0,0
7,Afghanistan,AFG,1987,0,0,0,0
8,Afghanistan,AFG,1988,0,0,0,0
9,Afghanistan,AFG,1989,0,0,0,0
10,Afghanistan,AFG,1990,0,0,0,0
11,Afghanistan,AFG,1991,0,0,0,0
12,Afghanistan,AFG,1992,0,0,0,0
13,Afghanistan,AFG,1993,0,0,0,0
14,Afghanistan,AFG,1994,0,0,0,0
15,Afghanistan,AFG,1995,0,0,0,0
16,Afghanistan,AFG,1996,0,0,0,0
17,Afghanistan,AFG,1997,0,0,0,0
18,Afghanistan,AFG,1998,0,0,0,0
19,Afghanistan,AFG,1999,0,0,0,0
20,Afghanistan,AFG,2000,0,0,0,0
21,Afghanistan,AFG,2001,0,0.004722568,930,0
22,Afghanistan,AFG,2002,0.1106157,0.004561395,958,0
23,Afghanistan,AFG,2003,0.844563544,0.087891251,19903,0
24,Afghanistan,AFG,2004,2.426528454,0.105809033,24922,0.000808843
25,Afghanistan,AFG,2005,4.677582741,1.224148035,298829,0.000857557
26,Afghanistan,AFG,2006,9.53490448,2.107123613,536114,0.001891571
27,Afghanistan,AFG,2007,17.22510529,1.899999976,492163,0.001844982
28,Afghanistan,AFG,2008,28.49300385,1.840000033,486261,0.001803604
29,Afghanistan,AFG,2009,36.97858429,3.549999952,972178,0.00352177
30,Afghanistan,AFG,2010,35.00312805,4,1127587,0.005139537
31,Afghanistan,AFG,2011,45.81362534,5,1462458,0
32,Afghanistan,AFG,2012,49.22797775,5.454545498,1661808,0.004813651
33,Afghanistan,AFG,2013,52.0835762,5.900000095,1860932,0.004648339
34,Afghanistan,AFG,2014,55.15951538,7,2290135,0.004494948
35,Afghanistan,AFG,2015,57.27106857,8.260000229,2788039,0.020535484
36,Afghanistan,AFG,2016,61.05463791,11,3809983,0.024873504
37,Afghanistan,AFG,2017,65.92913055,13.5,4811862,0.025297474
